CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,auc
cg02131967,0.306829392599971,0.421232538241573,11.8634176812128,4.31761199770374e-29,2.30039260953992e-27,54.8324092569546,0.141995716918578,0.448825109518549,0.306829392599971,17,61554106,R,I,ACE,TSS1500,island,TSS1500-island,chr17:61553834-61555063,,,,,,0.3940194556994801,hyper,0.4,0.8401826484018264,0.8165680473372781,0.8904347826086957
cg10266490,0.351519500839524,0.540236979130116,15.5515007793858,1.56660551744667e-45,1.59719465769926e-42,92.4879255221302,0.220328944193426,0.571848445032951,0.351519500839524,1,55013709,R,II,ACOT11,TSS200,opensea,TSS200-opensea,,,,,,,0.416942778098265,hyper,0.4,0.9419087136929462,0.9021739130434784,0.9157312252964427
cg11659501,0.350236312650476,0.487936325708049,12.3687981011739,3.2975056741312904e-31,2.44296597506215e-29,59.675217666783,0.169196084339091,0.519432396989566,0.350236312650476,12,81471678,R,II,ACSS3,TSS200,island,TSS200-island,chr12:81471569-81472119,,,,,,0.4012260004051562,hyper,0.23,0.948875255623722,0.9148936170212766,0.9038735177865612
cg25558103,0.322245357035544,0.601786857781781,14.5874571374668,4.91080790608637e-41,2.15574152661519e-38,82.1807556800182,0.308520399760225,0.630765756795769,0.322245357035544,17,42835859,R,I,ADAM11,TSS1500,island,TSS1500-island,chr17:42835776-42836242,,,,,,0.3888954106922078,hyper,0.44,0.9443298969072164,0.932642487046632,0.9095652173913045
cg26573704,0.44396128219377,0.542280173928839,15.3166399445311,2.0001532359769901e-44,1.67587449474548e-41,89.9518205708557,0.138243467471919,0.582204749665689,0.44396128219377,5,33892223,R,II,ADAMTS12,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,0.5691352798784615,hyper,0.25,0.9551020408163268,0.9484536082474226,0.9065612648221344
cg09651145,0.422567792960885,0.596595115891751,16.2737025842058,5.6807866302318296e-49,1.18730018568131e-45,100.37813734591,0.2120280237367,0.634595816697586,0.422567792960886,5,148651144,R,II,AFAP1L1,TSS1500,island,TSS1500-island,chr5:148650920-148651772,True,,,,,0.5138211454148163,hyper,0.42,0.9308176100628932,0.8852459016393442,0.9190513833992096
cg07330230,0.396037435490835,0.48494184207286,12.2445040877547,1.10532119720931e-30,7.56187235854026e-29,58.4733464194051,0.124519283874366,0.520556719365202,0.396037435490835,3,125899925,F,I,ALDH1L1,TSS1500,shore,TSS1500-shore,chr3:125898662-125899568,,True,,,,0.4544304065414837,hyper,0.13,0.9572301425661914,0.98,0.9032411067193675
cg14375499,0.356259702825375,0.603360146302316,13.1092335378674,2.13602201529409e-34,2.74260123639492e-32,66.9734483870507,0.279138186536777,0.635397889362152,0.356259702825375,17,6899207,F,II,ALOX12,TSS200,island,TSS200-island,chr17:6898820-6900427,True,True,,rs312466,,0.415403655243938,hyper,0.44,0.9240506329113924,0.8791208791208791,0.9010276679841899
cg08135379,0.311310213196325,0.468057710880668,9.52426956102698,5.087251128657311e-20,8.5078875788242945e-19,34.1197720508566,0.184743020453796,0.496053233650121,0.311310213196325,12,47474763,F,II,AMIGO2,TSS1500,shore,TSS1500-shore,chr12:47473177-47474120,True,,,,,0.3703271301783284,hyper,0.18,0.9341563786008232,0.9021739130434784,0.8534387351778656
cg08076018,0.374996152513637,0.468374150563767,11.1683888271698,2.8933188444951004e-26,1.02657834187803e-24,48.3718610405808,0.12710067363589,0.502096826149526,0.374996152513636,9,129885080,F,II,ANGPTL2,TSS200,opensea,TSS200-opensea,,,,,,,0.4266314990067949,hyper,0.12,0.9404517453798767,0.922279792746114,0.9057707509881423
cg14904662,0.38288981635062,0.605949558007025,14.6339676247481,2.99925964519833e-41,1.38107279659956e-38,82.6715356058335,0.257492279098008,0.640382095448628,0.382889816350619,8,41655673,R,I,ANK1,TSS1500,island,TSS1500-island,chr8:41654875-41655984,True,True,,,,0.4474541235201685,hyper,0.4,0.9443298969072164,0.9214659685863876,0.9199999999999999
cg20118643,0.437301405617856,0.603430350827213,14.8312648839362,3.6760168013227e-42,1.96999416060058e-39,84.7610331788212,0.205454611182187,0.642756016800042,0.437301405617855,15,60690852,R,II,ANXA2,TSS1500,island,TSS1500-island,chr15:60690708-60690930,,,,,,0.5273105160097294,hyper,0.45,0.9171974522292994,0.8729281767955802,0.8958102766798419
cg04380340,0.43991029672651,0.490110160235225,13.9747177870773,3.04505500844792e-38,7.78766090722739e-36,75.7820491539669,0.0897601419913145,0.529670438717825,0.43991029672651,2,201450506,R,II,AOX1,TSS1500,shore,TSS1500-shore,chr2:201450526-201451027,True,True,,,,0.4970315017271334,hyper,0.1,0.967741935483871,0.9543147208121826,0.9310671936758893
cg16970232,0.38240472529957,0.494346122015833,10.3334433954225,5.18440568220603e-23,1.2101503627687e-21,40.9424909111824,0.146330310861908,0.528735036161478,0.38240472529957,5,112073433,R,II,APC,TSS200,opensea,TSS200-opensea,,,,,,,0.4737278921493454,hyper,0.1,0.9338842975206612,0.9214659685863876,0.8594466403162057
cg15076145,0.360486585685314,0.470170831127606,11.7971266391623,8.11266245655585e-29,4.15467489718022e-27,54.2060025026799,0.14210210386723,0.502588689552544,0.360486585685314,4,94748686,R,II,ATOH1,TSS1500,shore,TSS1500-shore,chr4:94749495-94750998,,,,,,0.4094543029566756,hyper,0.22,0.9330543933054394,0.9197860962566844,0.9114624505928854
cg22777979,0.32962235405757,0.543197519545365,14.1811907029955,3.53778184159255e-39,1.07074112447009e-36,77.9239674889236,0.243217463514554,0.572839817572125,0.329622354057571,11,134283252,R,II,B3GAT1,TSS1500,shore,TSS1500-shore,chr11:134281380-134282919,,,,,,0.3738458345481571,hyper,0.39,0.9352818371607516,0.8791208791208791,0.924901185770751
